val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
,69,2029,-0.18005654215812683,1.319142460823059,2.7709105014801025
,70,2058,,,2.72792911529541
,71,2087,,,2.7328996658325195
,72,2116,,,2.7548818588256836
,73,2145,,,2.7446837425231934
,74,2174,,,2.751065492630005
,75,2203,,,2.779724359512329
,76,2232,,,2.806867837905884
,77,2261,,,2.747389316558838
,78,2290,,,2.756239175796509
2.748922109603882,79,2319,,,
,79,2319,-0.17970585823059082,1.3332806825637817,2.749728202819824
,80,2348,,,2.7474818229675293
,81,2377,,,2.7683603763580322
,82,2406,,,2.716186761856079
,83,2435,,,2.7761194705963135
,84,2464,,,2.752469301223755
,85,2493,,,2.758427143096924
,86,2522,,,2.7630929946899414
,87,2551,,,2.7666075229644775
,88,2580,,,2.777388334274292
2.7471113204956055,89,2609,,,
,89,2609,-0.18119145929813385,1.3133001327514648,2.7795565128326416
,90,2638,,,2.7663042545318604
,91,2667,,,2.7893054485321045
,92,2696,,,2.747404098510742
,93,2725,,,2.7526140213012695
,94,2754,,,2.7899255752563477
,95,2783,,,2.7719621658325195
,96,2812,,,2.7209627628326416
,97,2841,,,2.762071371078491
,98,2870,,,2.754506826400757
2.744295120239258,99,2899,,,
,99,2899,-0.179856076836586,1.3350837230682373,2.7279212474823
,100,2928,,,2.7525794506073
,101,2957,,,2.7179319858551025
,102,2986,,,2.774512529373169
,103,3015,,,2.743002414703369
,104,3044,,,2.7559564113616943
,105,3073,,,2.755173683166504
,106,3102,,,2.7968642711639404
,107,3131,,,2.7372941970825195
,108,3160,,,2.743701219558716
2.741231918334961,109,3189,,,
,109,3189,-0.18079644441604614,1.3229577541351318,2.7101335525512695
,110,3218,,,2.76407527923584
,111,3247,,,2.7719411849975586
,112,3276,,,2.784505844116211
,113,3305,,,2.757884979248047
,114,3334,,,2.783067464828491
,115,3363,,,2.7213082313537598
,116,3392,,,2.767404079437256
,117,3421,,,2.7359862327575684
,118,3450,,,2.7751762866973877
2.740278720855713,119,3479,,,
,119,3479,-0.17947612702846527,1.3325673341751099,2.7555224895477295
,120,3508,,,2.7762906551361084
,121,3537,,,2.7641263008117676
,122,3566,,,2.733182907104492
,123,3595,,,2.6834118366241455
,124,3624,,,2.7265701293945312
,125,3653,,,2.762592077255249
,126,3682,,,2.76760196685791
,127,3711,,,2.7268083095550537
,128,3740,,,2.7446045875549316
2.7382259368896484,129,3769,,,
,129,3769,-0.1829240471124649,1.3279236555099487,2.753689765930176
,130,3798,,,2.7438182830810547
,131,3827,,,2.7783660888671875
,132,3856,,,2.769089937210083
,133,3885,,,2.732372999191284
,134,3914,,,2.7403905391693115
,135,3943,,,2.7891554832458496
,136,3972,,,2.7322704792022705
,137,4001,,,2.72421932220459
,138,4030,,,2.754268169403076
2.738297700881958,139,4059,,,
,139,4059,-0.17756959795951843,1.316817045211792,2.76567006111145
,140,4088,,,2.7206315994262695
,141,4117,,,2.740755796432495
,142,4146,,,2.716935157775879
,143,4175,,,2.7222375869750977
,144,4204,,,2.749375343322754
,145,4233,,,2.748621940612793
,146,4262,,,2.7110791206359863
,147,4291,,,2.7771170139312744
,148,4320,,,2.7748308181762695
2.7388858795166016,149,4349,,,
,149,4349,-0.1770312339067459,1.3249475955963135,2.7481939792633057
,150,4378,,,2.7673165798187256
,151,4407,,,2.700653314590454
,152,4436,,,2.734102725982666
,153,4465,,,2.7677125930786133
,154,4494,,,2.7581052780151367
,155,4523,,,2.7459115982055664
,156,4552,,,2.726637125015259
,157,4581,,,2.7402608394622803
,158,4610,,,2.7539069652557373
2.738032579421997,159,4639,,,
