val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
,81,2377,,,2.7674190998077393
,82,2406,,,2.716036558151245
,83,2435,,,2.776872158050537
,84,2464,,,2.752992868423462
,85,2493,,,2.75899338722229
,86,2522,,,2.762850522994995
,87,2551,,,2.765355348587036
,88,2580,,,2.776421308517456
2.746973991394043,89,2609,,,
,89,2609,-0.18506628274917603,1.3132916688919067,2.7792558670043945
,90,2638,,,2.7671618461608887
,91,2667,,,2.790302038192749
,92,2696,,,2.7474093437194824
,93,2725,,,2.753272294998169
,94,2754,,,2.7903945446014404
,95,2783,,,2.772468090057373
,96,2812,,,2.7212979793548584
,97,2841,,,2.76220440864563
,98,2870,,,2.755655527114868
2.742892026901245,99,2899,,,
,99,2899,-0.18107281625270844,1.3350040912628174,2.7274014949798584
,100,2928,,,2.7521371841430664
,101,2957,,,2.718745231628418
,102,2986,,,2.7752885818481445
,103,3015,,,2.743870735168457
,104,3044,,,2.7562828063964844
,105,3073,,,2.7556090354919434
,106,3102,,,2.797183036804199
,107,3131,,,2.736966133117676
,108,3160,,,2.7439703941345215
2.741786479949951,109,3189,,,
,109,3189,-0.18261569738388062,1.3229708671569824,2.71022891998291
,110,3218,,,2.7644805908203125
,111,3247,,,2.7715344429016113
,112,3276,,,2.785323143005371
,113,3305,,,2.758204460144043
,114,3334,,,2.783541440963745
,115,3363,,,2.7216339111328125
,116,3392,,,2.768198251724243
,117,3421,,,2.7357823848724365
,118,3450,,,2.775782585144043
2.74039363861084,119,3479,,,
,119,3479,-0.18453557789325714,1.3323566913604736,2.7560784816741943
,120,3508,,,2.777863025665283
,121,3537,,,2.7657310962677
,122,3566,,,2.7327980995178223
,123,3595,,,2.6834840774536133
,124,3624,,,2.7278430461883545
,125,3653,,,2.763596773147583
,126,3682,,,2.769087791442871
,127,3711,,,2.728358268737793
,128,3740,,,2.745819568634033
2.738579273223877,129,3769,,,
,129,3769,-0.18341654539108276,1.3276938199996948,2.7549173831939697
,130,3798,,,2.7440547943115234
,131,3827,,,2.781498670578003
,132,3856,,,2.7697668075561523
,133,3885,,,2.7322022914886475
,134,3914,,,2.74141788482666
,135,3943,,,2.7900729179382324
,136,3972,,,2.733513116836548
,137,4001,,,2.723151922225952
,138,4030,,,2.754633903503418
2.7382779121398926,139,4059,,,
,139,4059,-0.17879867553710938,1.3167892694473267,2.7656490802764893
,140,4088,,,2.7209365367889404
,141,4117,,,2.739649534225464
,142,4146,,,2.7166244983673096
,143,4175,,,2.7224888801574707
,144,4204,,,2.7497706413269043
,145,4233,,,2.7490975856781006
,146,4262,,,2.711397647857666
,147,4291,,,2.7776098251342773
,148,4320,,,2.7759320735931396
2.739152193069458,149,4349,,,
,149,4349,-0.18352262675762177,1.325331687927246,2.7488861083984375
,150,4378,,,2.766289710998535
,151,4407,,,2.7002389430999756
,152,4436,,,2.7339117527008057
,153,4465,,,2.7677903175354004
,154,4494,,,2.7584338188171387
,155,4523,,,2.746263027191162
,156,4552,,,2.725956678390503
,157,4581,,,2.7401742935180664
,158,4610,,,2.753727674484253
2.7424113750457764,159,4639,,,
