experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp01_inference_angle,50,40,infer_40,0.20673076923076922,0.9386151703996839
subexp01_inference_angle,50,40,infer_40,0.21634615384615385,0.9425164921633749
subexp01_inference_angle,50,40,infer_40,0.22596153846153846,0.9330857784151539
subexp01_inference_angle,50,40,infer_40,0.23557692307692307,0.9328518973123862
subexp01_inference_angle,50,40,infer_40,0.24519230769230768,0.9380320234241618
subexp01_inference_angle,50,40,infer_40,0.2548076923076923,0.934608566929309
subexp01_inference_angle,50,40,infer_40,0.2644230769230769,0.9374690993705538
subexp01_inference_angle,50,40,infer_40,0.27403846153846156,0.9299878543664143
subexp01_inference_angle,50,40,infer_40,0.28365384615384615,0.932851370527673
subexp01_inference_angle,50,40,infer_40,0.2932692307692308,0.9216538822460877
subexp01_inference_angle,50,40,infer_40,0.30288461538461536,0.9318123534465722
subexp01_inference_angle,50,40,infer_40,0.3125,0.921329973837487
subexp01_inference_angle,50,40,infer_40,0.32211538461538464,0.9205610824576594
subexp01_inference_angle,50,40,infer_40,0.3317307692307692,0.9270167275021016
subexp01_inference_angle,50,40,infer_40,0.34134615384615385,0.9176095349798383
subexp01_inference_angle,50,40,infer_40,0.35096153846153844,0.9298528475001812
subexp01_inference_angle,50,40,infer_40,0.3605769230769231,0.9364528052418248
subexp01_inference_angle,50,40,infer_40,0.3701923076923077,0.9244730007089769
subexp01_inference_angle,50,40,infer_40,0.3798076923076923,0.9324783038797267
subexp01_inference_angle,50,40,infer_40,0.3894230769230769,0.9345678902700347
subexp01_inference_angle,50,40,infer_40,0.39903846153846156,0.9249899209083537
subexp01_inference_angle,50,40,infer_40,0.40865384615384615,0.9162500047400827
subexp01_inference_angle,50,40,infer_40,0.4182692307692308,0.9151454353378826
subexp01_inference_angle,50,40,infer_40,0.42788461538461536,0.9097763349339556
subexp01_inference_angle,50,40,infer_40,0.4375,0.9046387189449172
subexp01_inference_angle,50,40,infer_40,0.44711538461538464,0.9173487705712331
subexp01_inference_angle,50,40,infer_40,0.4567307692307692,0.9183563175432048
subexp01_inference_angle,50,40,infer_40,0.46634615384615385,0.9093612988413453
subexp01_inference_angle,50,40,infer_40,0.47596153846153844,0.9190665994266932
subexp01_inference_angle,50,40,infer_40,0.4855769230769231,0.9166565801353759
subexp01_inference_angle,50,40,infer_40,0.4951923076923077,0.9031990659384846
subexp01_inference_angle,50,40,infer_40,0.5048076923076923,0.8958642743215469
subexp01_inference_angle,50,40,infer_40,0.5144230769230769,0.8931492781478977
subexp01_inference_angle,50,40,infer_40,0.5240384615384616,0.874608987682391
subexp01_inference_angle,50,40,infer_40,0.5336538461538461,0.8597923015484353
subexp01_inference_angle,50,40,infer_40,0.5432692307692307,0.8578533946290486
subexp01_inference_angle,50,40,infer_40,0.5528846153846154,0.8518307642751021
subexp01_inference_angle,50,40,infer_40,0.5625,0.8470709789574016
subexp01_inference_angle,50,40,infer_40,0.5721153846153846,0.8491997553283692
subexp01_inference_angle,50,40,infer_40,0.5817307692307693,0.8373614583858892
subexp01_inference_angle,50,40,infer_40,0.5913461538461539,0.8419900568460519
subexp01_inference_angle,50,40,infer_40,0.6009615384615384,0.8615021589544414
subexp01_inference_angle,50,40,infer_40,0.6105769230769231,0.8614516084250171
subexp01_inference_angle,50,40,infer_40,0.6201923076923077,0.8605531407637694
subexp01_inference_angle,50,40,infer_40,0.6298076923076923,0.8606859221515522
subexp01_inference_angle,50,40,infer_40,0.6394230769230769,0.8460376489877571
subexp01_inference_angle,50,40,infer_40,0.6490384615384616,0.8548346862759334
subexp01_inference_angle,50,40,infer_40,0.6586538461538461,0.8534411928257698
subexp01_inference_angle,50,40,infer_40,0.6682692307692307,0.8471865839451775
subexp01_inference_angle,50,40,infer_40,0.6778846153846154,0.8458834145024561
subexp01_inference_angle,50,40,infer_40,0.6875,0.8480623068612942
subexp01_inference_angle,50,40,infer_40,0.6971153846153846,0.8416233333584822
subexp01_inference_angle,50,40,infer_40,0.7067307692307693,0.8468480759231493
subexp01_inference_angle,50,40,infer_40,0.7163461538461539,0.8443453106711546
subexp01_inference_angle,50,40,infer_40,0.7259615384615384,0.8454744818665735
subexp01_inference_angle,50,40,infer_40,0.7355769230769231,0.8347711653479487
subexp01_inference_angle,50,40,infer_40,0.7451923076923077,0.8515633392100983
subexp01_inference_angle,50,40,infer_40,0.7548076923076923,0.8429067824158007
subexp01_inference_angle,50,40,infer_40,0.7644230769230769,0.8458401340198939
subexp01_inference_angle,50,40,infer_40,0.7740384615384616,0.8351564930439246
subexp01_inference_angle,50,40,infer_40,0.7836538461538461,0.830194508575322
subexp01_inference_angle,50,40,infer_40,0.7932692307692307,0.8184280399036894
subexp01_inference_angle,50,40,infer_40,0.8028846153846154,0.823444624053469
subexp01_inference_angle,50,40,infer_40,0.8125,0.8200148914004932
subexp01_inference_angle,50,40,infer_40,0.8221153846153846,0.8254266850372876
subexp01_inference_angle,50,40,infer_40,0.8317307692307693,0.8240819368945174
subexp01_inference_angle,50,40,infer_40,0.8413461538461539,0.806969839241171
subexp01_inference_angle,50,40,infer_40,0.8509615384615384,0.8215587969150123
subexp01_inference_angle,50,40,infer_40,0.8605769230769231,0.7946636896649732
subexp01_inference_angle,50,40,infer_40,0.8701923076923077,0.8045399771973587
subexp01_inference_angle,50,40,infer_40,0.8798076923076923,0.7840160856359625
subexp01_inference_angle,50,40,infer_40,0.8894230769230769,0.7716491444814556
subexp01_inference_angle,50,40,infer_40,0.8990384615384616,0.7658302513467005
subexp01_inference_angle,50,40,infer_40,0.9086538461538461,0.7434289488624063
subexp01_inference_angle,50,40,infer_40,0.9182692307692307,0.7346228993202534
subexp01_inference_angle,50,40,infer_40,0.9278846153846154,0.7212335122172383
subexp01_inference_angle,50,40,infer_40,0.9375,0.7252991455755958
subexp01_inference_angle,50,40,infer_40,0.9471153846153846,0.7092350576842622
subexp01_inference_angle,50,40,infer_40,0.9567307692307693,0.7072204040622011
subexp01_inference_angle,50,40,infer_40,0.9663461538461539,0.6991984619315335
subexp01_inference_angle,50,40,infer_40,0.9759615384615384,0.6865855698438915
subexp01_inference_angle,50,40,infer_40,0.9855769230769231,0.6811500856569226
subexp01_inference_angle,50,40,infer_40,0.9951923076923077,0.6698285234781133
subexp01_inference_angle,50,50,infer_50,0.004807692307692308,1.0
subexp01_inference_angle,50,50,infer_50,0.014423076923076924,0.9999128279441112
subexp01_inference_angle,50,50,infer_50,0.02403846153846154,0.9995204905108696
subexp01_inference_angle,50,50,infer_50,0.03365384615384615,0.9968687276532529
subexp01_inference_angle,50,50,infer_50,0.04326923076923077,0.9957460277035922
subexp01_inference_angle,50,50,infer_50,0.052884615384615384,0.9898819017813331
subexp01_inference_angle,50,50,infer_50,0.0625,0.9857483098854946
subexp01_inference_angle,50,50,infer_50,0.07211538461538461,0.9780035382310164
subexp01_inference_angle,50,50,infer_50,0.08173076923076923,0.975979518135661
subexp01_inference_angle,50,50,infer_50,0.09134615384615384,0.970762753073402
subexp01_inference_angle,50,50,infer_50,0.10096153846153846,0.9727223008458126
subexp01_inference_angle,50,50,infer_50,0.11057692307692307,0.9635145309838471
subexp01_inference_angle,50,50,infer_50,0.1201923076923077,0.9564144904330274
subexp01_inference_angle,50,50,infer_50,0.12980769230769232,0.9537004555200105
subexp01_inference_angle,50,50,infer_50,0.13942307692307693,0.9519585287066944
subexp01_inference_angle,50,50,infer_50,0.14903846153846154,0.9457663711795179
subexp01_inference_angle,50,50,infer_50,0.15865384615384615,0.9348440572251413
subexp01_inference_angle,50,50,infer_50,0.16826923076923078,0.9432669785576328
subexp01_inference_angle,50,50,infer_50,0.1778846153846154,0.9372340910698835
subexp01_inference_angle,50,50,infer_50,0.1875,0.939896933183867
